Category,Tender Description,Advertised,Cancelled
Services: Functional (Including Cleaning and Security Services),PROVISION OF SECURITY GUARDING SERVICES IN THE NORTH WEST DEPARTMENT OF SOCIAL DEVELOPMENT AT Dr RUTH SEGOMOTSI MOMPATI DISTRICT FOR A PERIOD OF THIRTY SIX (36) MONTHS.,08/10/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),PROVISION OF SECURITY GUARDING SERVICES IN THE NORTH WEST DEPARTMENT OF SOCIAL DEVELOPMENT AT Dr KENNETH KAUNDA DISTRICT FOR A PERIOD OF THIRTY SIX (36) MONTHS.,08/10/2024,[object Object]
"Computer programming, consultancy and related activities",THE FINANCIAL INTELLIGENCE CENTRE REQUEST PROPOSALS FROM SERVICE PROVIDERS TO PROVIDE VMWARE LICENSE MANAGEMENT TO THE FINANCIAL INTELLIGENCE CENTRE FOR A PERIOD OF THIRTY-SIX (36) MONTHS,08/10/2024,[object Object]
Services: Professional,STRATEGIC SOURCING: STRATEGY DEVELOPMENT TRAINING,08/10/2024,[object Object]
Sewerage,"FOR THE PROVISION OF SERVICES FOR THE DESLUDGING OF SEPTIC TANKS AND CLEANING OF SEPTIC TANKS, MANHOLES, SEWER AND STORMWATER NETWORK (SUPER SUCKER, VACUUM TANKER AND JET BLASTER) IN KWA- ZULU NATAL ON AN “AS AND WHEN” REQUIRED BASIS” FOR A PERIOD OF 24 MONTHS",07/10/2024,[object Object]
Services: General,"APPOINTMENT OF A SERVICE PROVIDERS TO SUPPLY AND DELIVER SANITARY PADS TO GIRLS IN QUINTILES 1-3 SCHOOLS, FARM SCHOOLS AND SPECIAL SCHOOLS WITHIN THE DISTRICTS PROVIDED BY THE DEPARTMENT OF SOCIAL DEVELOPMENT",07/10/2024,[object Object]
Services: General,"The appointment of service provider to supply, deliver and repair terminal seating for the Department of Home Affairs Offices for a period of three (3) years",07/10/2024,[object Object]
Services: Professional,PROVISION OF SERVICES BY ACCREDITED PERSONS/INSTITUTIONS TO CONDUCT MAJOR HAZARD INSTALLATION ASSESSMENT AT THE MAPHEPHETHENI WATERWORKS,07/10/2024,[object Object]
Services: General,SUPPLY AND DELIVERY OF LUGGAGE TROLLEYS AND COVERED BAGGAGE CARTS FOR THR FACILITATION OF LARGER GROUP OF TRAVELLERS,07/10/2024,[object Object]
Information and communication,"Provision of telephone management system, including maintenance and support.",07/10/2024,[object Object]
Administrative and support activities,REQUEST FOR QUOTATION (RFQ) FOR THE PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR EXPANDED PUBLIC WORKS PROGRAMME NON-STATE SECTOR NPO (EPWP NSS NPO) PROGRAMME PARTICIPANTS.,07/10/2024,[object Object]
Administrative and support activities,REQUEST FOR QUOTATION (RFQ) FOR THE PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR EXPANDED PUBLIC WORKS PROGRAMME NON-STATE SECTOR NPO (EPWP NSS NPO) PROGRAMME PARTICIPANTS.,07/10/2024,[object Object]
Other personal service activities,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPORT, MAINTAIN AND HOST PROJECT MANAGEMENT SYSTEM FOR WORKING FOR TOURISM (WFT), 24 MONTHS",07/10/2024,[object Object]
Administrative and support activities,REQUEST FOR QUOTATION (RFQ) FOR THE PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR EXPANDED PUBLIC WORKS PROGRAMME NON-STATE SECTOR NPO (EPWP NSS NPO) PROGRAMME PARTICIPANTS.,07/10/2024,[object Object]
Administrative and support activities,REQUEST FOR QUOTATION (RFQ) FOR THE PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR EXPANDED PUBLIC WORKS PROGRAMME NON-STATE SECTOR NPO (EPWP NSS NPO) PROGRAMME PARTICIPANTS.,07/10/2024,[object Object]
Administrative and support activities,REQUEST FOR QUOTATION (RFQ) FOR THE PROCUREMENT OF PERSONAL PROTECTIVE EQUIPMENT (PPE) FOR EXPANDED PUBLIC WORKS PROGRAMME NON-STATE SECTOR NPO (EPWP NSS NPO) PROGRAMME PARTICIPANTS.,07/10/2024,[object Object]
Construction,Supply and Delivery of Laboratory Equipment for DWS Construction at Grootdraai Dam in the Mpumalanga Province,07/10/2024,[object Object]
Services: Professional,OLIFANTSPOORT AND EBENEZER WATER SUPPLY SCHEME REFURBISHMENT AND UPGRADE – PHASE 1A: PROFESSIONAL ENGINEERING SERVICES B,07/10/2024,[object Object]
Construction of buildings,The Supply and Delivery of Steel Pipe Fitting items for the Refurbishment of the Standerton Water Treatment Works to Grootdraai Dam Construction East in the Mpumalanga Province.,07/10/2024,[object Object]
Construction of buildings,The Supply and Delivery of Steel Pipe Fitting items for the Refurbishment of the Standerton Water Treatment Works to Grootdraai DAM Construction East in the Mpumalanga Province,07/10/2024,[object Object]
Advertising and market research,APPOINTMENT OF A SERVICE PROVIDER TO ASSIST NRCS TO WITH ADVERTISEMENT OF CRITICAL POSITIONS TO VARIOUS NEWS PAPERS.,07/10/2024,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT A CERTIFICATION CLEAN-UP,07/10/2024,[object Object]
Other service activities,"APPOINT A SUITABLE SERVICE PROVIDER TO RENDER SERVICES FOR SCANNING, HANDLING AND STORAGE OF FILES FOR A PERIOD OF 6 YEARS AT THE PROPRTY PRACTIONERS REGULATORY AUTHORITY",07/10/2024,[object Object]
Construction,Hiring of a 20-ton Crawler Long Reach Excavator to Standerton Water Treatment Works near Standerton in the Mpumalanga Province.,07/10/2024,[object Object]
Construction,Supply and Delivery of Electrical Material to Standerton Water Treatment Works near Standerton in the Mpumalanga Province,07/10/2024,[object Object]
Services: Professional,CKDM009 – 2024/2025: Provision of accounting services and compilation of annual financial statements. (3 year contract). Only tenders scoring a minimum of 80% for functionality will be further evaluated.,07/10/2024,[object Object]
Construction,Supply and Delivery of Electrical Material to Standerton Water Treatment Works in the Mpumalanga Province,07/10/2024,[object Object]
"Travel agency, tour operator, reservation service and related activities",APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE ONLINE TRAVEL MANAGEMENT SERVICES TO THE DEPARTMENT FOR A PERIOD OF SIXTY (60) MONTHS (5 YEARS),07/10/2024,[object Object]
"Electricity, gas, steam and air conditioning","The Dynamic calibration of the SO2 and NOx instruments by a Calibration laboratory accredited by SANAS for Gas Metrology-onsite calibration of point gas analysers, at the Eskom Gourikwa Air Quality Monitoring Station in Mossel Bay, Western Cape.",07/10/2024,[object Object]
Construction,Supply and Delivery of Inventory Consumables at the Stores Division Grootdraai Dam close to Standerton in the Mpumalanga Province,07/10/2024,[object Object]
Construction of buildings,"Appointment of a service provider to provide a turnkey solution for the MHSC for the renovation of the new MHSC building, based on the specified layout and design",07/10/2024,[object Object]
Supplies: Stationery/Printing,PANEL OF THREE SERVICE PROVIDERS FOR SUPPLY AND DELIVERY OF PRINTING PAPERS AND CALCULATORS FOR 36 MONTHS,05/10/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),"FOR THE PROVISION OF RENDERING OF GARDENING SERVICES WITHIN THE THEEWATERSKLOOF SUB DISTRICT WHICH INCLUDES CALEDON DISTRICT HOSPITAL, OVERBERG DISTRICT OFFICE, EMERGENCY MEDICAL SERVICES, VILLIERSDORP CLINIC, GENADENDAL CLINIC, VOORSTREKRAAL SATELITE CLINIC, RIVIERSONDEREND CLINIC, GREYTON CLINIC, BOTRIVIER CLINIC, CALEDON CLINIC AND GRABOUW COMMUNITY HEALTH CENTRE UNDER THE CONTROL OF WESTERN CAPE GOVERNMENT HEALTH FOR A THREE (3) YEAR PERIOD,",04/10/2024,[object Object]
Services: Professional,"Supply, Delivery and Application of Fertilizer to Sports Fields in the Overstrand for a Contract Period Ending 30 June 2027",04/10/2024,[object Object]
Other service activities,Rendering of 24 hours’ Physical Security Services in eighteen (18) Clusters - 3-year term contract,04/10/2024,[object Object]
Other service activities,"Invitation for Proposals for the Appointment of a Service Provider to Implement the Makhathini Mega Nursery, Fruit Tree Propagation and Sweet Potato Vines Operations for the Period of Three (3) years",04/10/2024,[object Object]
Services: Civil,"INVITATION TO BIDDERS WITH CIDB GRADING OF 6EP OR HIGHER FOR THE DESIGN, INSTALLATION, COMMISSIONING, SERVICE, AND MAINTENANCE OF A 1 MWp ROOFTOP PHOTOVOLTAIC SOLAR SYSTEM AT THE AUTOMOTIVE SUPPLIER PARK DEVELOPMENT COMPANY SOC LTD T/A AIDC IN ROSSLYN, GAUTENG.",04/10/2024,[object Object]
Other service activities,"Invitation for Appointment of a Panel of Service Providers to Supply, Deliver and Offload Agricultural Inputs: Seeds, Seedlings, and Fruit Trees For a period of thirty-six (36) months",04/10/2024,[object Object]
Supplies: General,Supply and delivery of T1A/T1B GEARBOX: TYPE: REDUCTION; RATIO:26.4:1; SPEED: 1481 RPM; POWER: 697.4 KW; APPLICATION: T1A/B; SUPPL P/N: X3FS260E/HU/B; at Matimba Power Station Once off Purchase.,04/10/2024,[object Object]
Services: General,Establishing a Lease Agreement for the Bethlehem Area Office for a period of 36 months,04/10/2024,[object Object]
Services: Professional,"THE APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO UNDERTAKE LAND ASSEMBLY PROCESSES, PLANNING AND DEVELOP DETAILED ARCHITECTURAL DESIGNS FOR NJOLI SQUARE IN THE NELSON MANDELA BAY MUNICIPALITY UNDER NATIONAL TREASURY INTER-GOVERNMENTAL RELATIONS NEIGHBOURHOOD DEVELOPMENT PARTNERSHIP PROGRAMME (NDPP)",04/10/2024,[object Object]
Services: Professional,EXPRESSIONS OF INTEREST FROM PROFESSIONAL SERVICE PROVIDERS TO RENDER AGRICULTURAL ENGINEERING SERVICES TO THE LIMPOPO DEPARTMENT OF AGRICULTURE AND RURAL DEVELOPMENT,04/10/2024,[object Object]
Telecommunications,THE IMPLEMENTATION OF INTEGRATED TELEPHONY AND COMMUNICATIONS SOLUTION AT MOSSEL BAY MUNICIPALITY,04/10/2024,[object Object]
Construction,SUPPLY AND DELIVERY OF STORAGE SHELVES FOR CLANWILLIAM DAM IN THE WESTERN CAPE FOR DWS CONSTRUCTION SOUTH.,04/10/2024,[object Object]
Legal and accounting activities,Appointment of a service provider to represent NRWDI at CCMA and Labour Court on Employee / Labour Relations matters,04/10/2024,[object Object]
"Electricity, gas, steam and air conditioning","Upgrade of Glasshouses at ARC-VIMP (B5,B14,C13 & C12) at ARC-VIMP",04/10/2024,[object Object]
Services: Professional,"APPOINTMENT OF TRAVEL MANAGEMENT COMPANIES TO PROVIDE TRAVEL MANAGEMENT SERVICES TO REGIONS 2, REGION 3 AND REGION 4 FOR THE DEPARTMENT OF AGRICULTURE, LAND REFORM AND RURAL DEVELOPMENT (DALRRD) FOR A PERIOD OF 36 MONTHS.",04/10/2024,[object Object]
Legal and accounting activities,Appointment of a service provider to lead employer (NRWDI) disciplinary cases on Employee / Labour Relations,04/10/2024,[object Object]
Services: General,"SPRINGBOK AND SURROUNDING AREA: Service, maintenance and repair of low voltage installation at various clients for 36 months.",04/10/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),NOUPOORT MAGISTRATE OFFICE: Provisioning of cleaning services for 36 months. (753m²),04/10/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),WARRENTON MAGISTRATE OFFICE: Provisioning of cleaning services for 36 months. (832.21m²),04/10/2024,[object Object]
Services: General,Provision of Training and Incubation for 15 students. The training and incubation to be inclusive of development into local SMME's within the agricultural sector.,04/10/2024,[object Object]
Other service activities,Request for Proposal for the refurbishment of A320 aircraft,04/10/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),WESTERN CAPE: ALL REGIONS: SECURITY SERVICES FRAMEWORK AGREEMENT 2024-2027,04/10/2024,[object Object]
Administrative and support activities,APPOINTMENT OF A SERVICE PROVIDER FOR PROVISION OF WELLNESS/HEALTH CLINIC SERVICES FOR EMPLOYESS THAT ARE BASED AROUND EAST LONDON AND PORT ELIZABETH FOR A PERIOD OF 36 MONTHS AT PRASA IN THE EASTERN CAPE REGION,04/10/2024,[object Object]
Supplies: General,Supply and Delivery of Eragrostis and Lucerne Bales to The Agricultural Research Council - Onderstepoort Veterinary Research (OVR) and Animal Production (AP) campuses for a period of 36 months,04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE A PORTION OF OFFICE SPACE WITH PARKING AT BON 1 IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN YEARS (10) YEARS,04/10/2024,[object Object]
Rental and leasing activities,"REQUEST FOR PROPOSAL TO LEASE A WORKSHOP (5372.5m2) AT OCEAN ROAD, PRECINCT, IN MARINE ENGINEERING PRECINCT IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN YEARS (10) YEARS",04/10/2024,[object Object]
Construction of buildings,SUPPLY AND DELIVERY OF 1.5-TON WALK-BEHIND ELECTRIC PALLET STACKER AT PAARL FOR DWS CONSTRUCTION SOUTH.,04/10/2024,[object Object]
Services: Professional,RECONDITION OF TATA NOVUS REFUSE COMPACTOR ENGINE,04/10/2024,[object Object]
Supplies: Clothing/Textiles/Footwear,SUPPLY AND DELIVERY OF PERSONAL PROTECTIVE EQUIPMENT FOR DWS CONSTRUCTION SOUTH.,04/10/2024,[object Object]
Rental and leasing activities,"REQUEST FOR PROPOSAL TO LEASE LAND AND BUILDING IN EXTENT OF 1 290.8M² AT DUNCAN ROAD, DUNCAN DOCK PRECENT, LOCATED IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO (10) YEARS",04/10/2024,[object Object]
Rental and leasing activities,"REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 2 444.6 m² AT EASTERN MOLE, TANKER BASIN 1, LOCATED IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO (10) YEARS",04/10/2024,[object Object]
"Professional, scientific and technical activities",Appointment of a service provider to develop an integrated transformation strategy for the organisation,04/10/2024,[object Object]
Rental and leasing activities,"REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 2 268.5M² AT EASTERN MOLE, TANKER BASIN 1, LOCATED IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO (10) YEARS",04/10/2024,[object Object]
Rental and leasing activities,"REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 239M² AT BERRIO ROAD, MARINE ENGINEERING PRECENT, LOCATED IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO (10) YEARS",04/10/2024,[object Object]
Construction,WATERPROOF AND INSTALLATION SUBMERSIBLE SUMP PUMPS IN ALL THIRTEEN (13) LIFT PITS - ADDINGTON HOSPITAL,04/10/2024,[object Object]
Other service activities,The Appointment of Agriculture and Agro Processing Production Mentor/s to Train and Support Identified Projects for the Period of Three Years,04/10/2024,[object Object]
Other service activities,"Invitation for Proposals for the Appointment of a Service Provider to Implement the Makhathini Mega Nursery, Fruit Tree Propagation and Sweet Potato Vines Operations for the Period of Three (3) years",04/10/2024,[object Object]
Other service activities,"Invitation for Appointment of a Panel of Service Providers to Supply, Deliver and Offload Agricultural Inputs: Seeds, Seedlings, and Fruit Trees For a period of thirty-six (36) months",04/10/2024,[object Object]
Legal and accounting activities,"APPOINTMENT OF A FIRM OF ATTORNEYS TO REPRESENT THE PUBLIC PROTECTOR SA AT THE HIGH COURT, GAUTENG DIVISION, PRETORIA",04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE PREMISES DESCRIBED AS A WORKSHOP/WAREHOUSE IN EXTENT OF 780.1m2 ALKMAAR ROAD: MARINE ENGINEERING PRECINCT IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Rental and leasing activities,"REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT 317.9m2 AT ALKMAAR ROAD, STURROCK DRY DOCK: MARINE ENGINEERING IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS",04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 2 680m2 AT SCEPTRE CRESCENT: CONTAINER TERMINAL PRECINCT IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 1 300m2 AT SCEPTRE CRESCENT: CONTAINER TERMINAL PRECINCT IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 1 515m2 AT MARINE DRIVE INTERCHANGE: DUNCAN DOCK PRECINCT IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 2 043m2 AT CONTAINER TERMINAL: CONTAINER PRECINCT IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Construction,FENCING AND SITE CLEARANCE FOR ECO PARK: PLESSISLAER SITE,04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE A PORTION OF LAND IN EXTENT OF 191m2 AT ALKMAAR ROAD: MARINE ENGINEERING PRECINCTIN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE LAND IN EXTENT OF 190m2 AT ALKMAAR ROAD IN MARINE ENGINEERING PRECINCT: PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN (10) YEARS,04/10/2024,[object Object]
Construction,"BETTERMENT OF GRAVEL STEEP SECTION TO CONCRETE PAVEMENT ON DISTRICT ROAD D920 (200m), BETWEEN KM 9.7 TO KM 9.9 IN THE RAY NKONYENI LOCAL MUNICIPALITY, DURBAN REGION. FOR GRADE 3CE OR HIGHER",04/10/2024,[object Object]
Rental and leasing activities,REQUEST FOR PROPOSAL TO LEASE WORKSHOP WITH AND STORAGE AT OCEAN ROAD IN THE PORT OF CAPE TOWN FOR A PERIOD OF UP TO TEN YEARS (10) YEARS,04/10/2024,[object Object]
Services: Professional,South African Civil Aviation Authority (SACAA) invites bidders to submit proposals and quotations to review Funeral and Death Benefits and offer optimum competitive benefits aligned with the current market trends.,04/10/2024,[object Object]
Administrative and support activities,TERMS OF REFERENCE (TOR) FOR PRE-QUALIFICATION OF DESIGN AND BUILD CONTRACTORS FOR THE DEMOLITION OF 112 PREFAB HOUSES (INCLUDING HOUSES UNDER THE ESKOM SERVITUDE) AND ERECTING OF 113 THREE BED BRICK HOUSES.,04/10/2024,[object Object]
Construction,"TENDER DOCUMENT FOR CONSTRUCTION OF TANK STANDS, INSTALLATION OF RAIN WATER GOODS AND WATER TANKS AT VARIOUS SCHOOLS IN NELSON MANDELA BAY MUNICIPALITY IN THE EASTERN CAPE PROVINCE UNDER WATER TANKS PROGRAMME",03/10/2024,[object Object]
Services: Electrical,Power Reticulation Yearly Maintenance,03/10/2024,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF A MOBILE BOOMLIFT (CHERRY PICKER),03/10/2024,[object Object]
Scientific research and development,The appointment of a service provider for a service and maintenance of a Teledyne Acoustic Doppler Current Profilers (ADCP’s) for a period of 5 (five) years.,03/10/2024,[object Object]
Construction of buildings,The Repairs and Maintenance at High Street Campus (5GB or Higher),03/10/2024,[object Object]
Services: Professional,PROVISION OF LABORATORY SERVICES FOR CHEMICAL ANALYSIS OF ENVIRONMENTAL AND OCCUPATIONAL HYGIENE SAMPLES AND THE SUPPLY OF CONSUMABLES,03/10/2024,[object Object]
Supplies: Computer Equipment,RE- ADVERT : SUPPLY AND DELIVERY OF LAPTOPS AND DESKTOPS.,03/10/2024,[object Object]
Services: Civil,The provision Slurry Plant Cleaning an as and when required basis for a period of Three (03) years at Matla Power Station,03/10/2024,[object Object]
Supplies: General,12 Months contract for Supply and Delivery of Funeral Grocery,03/10/2024,[object Object]
"Arts, entertainment and recreation",PROVISION OF MEDIA COORDINATION / BRANDING AND MAYORAL RADIO SLOT SERVICES OVER 12 MONTHS,03/10/2024,[object Object]
Other service activities,COAL PLANT MAINTENANCE RESOURCES FOR A PERIOD OF FIVE (5) YEARS AT LETHABO POWER STATION.,03/10/2024,[object Object]
Activities of head offices; management consultancy activities,Bid for provision of Transactional Advisory services to support the MPR project during stage 3 design phase of project according to FIDPM life cycle,03/10/2024,[object Object]
"Other professional, scientific and technical activities",FOR APPOINTMENT OF A SERVICE PROVIDER TO UNDERTAKE THE LANDSCAPE ANALYSIS AND DEVELOP A BIOENTREPRENEURSHIP PROGRAMME FOR IMPLEMENTATION BY THE TECHNOLOGY INNOVATION AGENCY,03/10/2024,[object Object]
Other service activities,"Supply, Deliver and installation of Roof packaged ducted aircons",03/10/2024,[object Object]
Services: Electrical,"The provision of a service provider to supply, install and commission 8 11kV vacuum circuit breakers at Armscor Dockyard substations, Simonstown",03/10/2024,[object Object]
Information and communication,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE AN AUDIT LOGGING TOOL FOR THE PERIOD OF 24 MONTHS,03/10/2024,[object Object]
Services: Professional,Provisioning of ISO 90001 Training at Polokwane International Airport,03/10/2024,[object Object]
Information and communication,Website Hosting Services and SSL Certificate with Maintenance and Support for a period 36 months,03/10/2024,[object Object]
Supplies: General,Supply and deliver 2 x guardhouses and mobile VIP toilet on a trailer - Rand Water Zuikerbosch Water treatment Plant,03/10/2024,[object Object]
"Electricity, gas, steam and air conditioning","Supply, Delivery And Installation Of Solar Power System At Singo Camp,Makuya Nature Reserve",03/10/2024,[object Object]
Rental and leasing activities,LEASING OF MULTI-FUNCTIONAL PHOTOCOPIER MACHINES WITH MAINTENANCE AND SUPPORT FOR A PERIOD OF 36 MONTHS,03/10/2024,[object Object]
Other service activities,APPOINTMENT OF A CONTRACTOR FOR FLEET ROADWORTHY VEHICLE TESTING IN THE SOUTH GAUTENG REGION TO BE DONE ONCE-OFF PERIOD,03/10/2024,[object Object]
Scientific research and development,Appointment of a service provider for rural consumer data collection project,02/10/2024,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO DEVELOP A NATIONAL DESIGN POLICY FOR SOUTH AFRICA.,02/10/2024,[object Object]
Other manufacturing,Bid to Supply and Delivery of fuel Products (Petrol and Diesel) to Necsa for a period of Four (04) years,02/10/2024,[object Object]
Services: Professional,APPOINTMENT OF A SERVICE PROVIDER TO RENDER THE INFORMATION TECHNOLOGY MANAGEMENT SERVICES FOR A PERIOD OF TWELVE (12) MONTHS,02/10/2024,[object Object]
Services: Building,DESIGN & BUILDING OF BUILT IN STORAGE CABINETS FOR FINANCE SECTION,02/10/2024,[object Object]
Construction,REPAIR OF THE ABLUTION FACILITY AT THE PRINCE ALBERT MUNICIPAL SWIMMING POOL,02/10/2024,[object Object]
Construction of buildings,Request for fencing of Bungeni heritage site,02/10/2024,[object Object]
Construction,UPGRADING OF THE PRINCE ALBERT MUNICIPAL LIBRARY,02/10/2024,[object Object]
Construction,UPGRADING OF THE KLAARSTROOM MUNICIPAL LIBRARY,02/10/2024,[object Object]
Services: Professional,"Appointment of Economic Development Transaction Advisors for the Request for Proposals Design and Drafting, Evaluation of Bids received, Appointment of Preferred Bidders and the Commercial and Financial Close activities associated with the implementation of the Bid Window 8 of Renewable Energy IPP Procurement Program for a period of 24 months.",02/10/2024,[object Object]
"Professional, scientific and technical activities","APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF MICROSCOPY CHEMICALS AT THE DIRECTORATE: PLANT HEALTH DIAGNOSTICS , PLANT QUARANTINE STATION, STELLENBOSCH, 7599.",02/10/2024,[object Object]
Supplies: General,"SUPPLY, INSTALLATION OF A NEW CCTV SYTSTEM AND DECOMMISIONING OF EXISTING CCTV SYSTEM FOR FRANCES BAARD DISTRICT MUNICIPALITY AND MAINTENANCE OF THE SYSTEM FOR A PERIOD OF (03) THREE YEARS",02/10/2024,[object Object]
Telecommunications,FOR THE SUPPLY AND DELIVERY OF RUGGED INTRINSICALLY SAFE CELLPHONES TO TRANSNET NATIONAL PORTS AUTHORITY ON A ONCE-OFF BASIS,02/10/2024,[object Object]
Services: Professional,ERRATUM (REQUEST FOR QUOTATION) VUWANI SAPS: PROJECT 5 STAR: UPGRADING OF POLICE STATION AND CONSTRUCTION OF ADDITIONAL ACCOMMODATION (APPOINTMENT OF ELECTRICAL ENGINEERING) – WCS 039789,02/10/2024,[object Object]
Administrative and support activities,THE APPOINMENT OF PROFESSIONAL ENGINEERING SERVICE PROVIDER TO PROVIDE PROGRAMME MANAGEMENT SUPPORT MENTORSHIP SUPPORT AND BUSINESS TRAINING FOR THE CONTRACTOR DEVELOPMENT PROGRAM FOR A PERIOD OF THREE,02/10/2024,[object Object]
Services: Professional,ERRATUM (REQUEST FOR QUOTATION) VUWANI SAPS: PROJECT 5 STAR: UPGRADING OF POLICE STATION AND CONSTRUCTION OF ADDITIONAL ACCOMMODATION (APPOINTMENT OF MECHANICAL ENGINEERING) – WCS 039789,02/10/2024,[object Object]
Education,Project Management training and Mentoring/Coaching at Midmar training centre.,02/10/2024,[object Object]
Services: Professional,ERRATUM (REQUEST FOR QUOTATION) VUWANI SAPS: PROJECT 5 STAR: UPGRADING OF POLICE STATION AND CONSTRUCTION OF ADDITIONAL ACCOMMODATION (APPOINTMENT OF QUANTITY SURVEYING SERVICES) – WCS 039789,02/10/2024,[object Object]
Services: Functional (Including Cleaning and Security Services),"APPOINTMENT OF A SERVICE PROVIDER TO RENDER CLEANING SERVICES TO THE DEPARMENT OF SPORT, ARTS AND CULTURE (VARIOUS SITES IN KWAZULU-NATAL) FOR THE PERIOD OF 36 MONTHS",02/10/2024,[object Object]
Other service activities,Black plastic chairs for hire,02/10/2024,[object Object]
Manufacture of furniture,Supply and delivery of Office Furniture at Morakapola CLC.,02/10/2024,[object Object]
Construction,"BETTERMENT RE-GRAVELLING ON DISTRICT ROAD D944, BETWEEN KM 0.00 TO KM 2.86 IN RAY NKONYENI LOCAL MUNICIPALITY WITHIN THE DURBAN REGION FOR GRADE 3CE OR HIGHER",01/10/2024,[object Object]
Transportation and storage,THE APPOINTMENT OF SERVICE PROVIDER TO PROVIDE BUS HIRE SERVICES FOR A PERIOD OF 12 MONTHS AS AND WHEN REQUIRED,01/10/2024,[object Object]
Other service activities,APPOINTMENT OF A SERVICE PROVIDER FOR SERVICE AND MAINTENANCE OF A PARAPLEGIC LIFT FOR SABC WESTERN CAPE FOR A PERIOD OF FIVE (5) YEARS.,01/10/2024,[object Object]
Financial and insurance activities,REQUEST FOR PROPOSAL (RFP) FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR MEDICAL SCHEME BROKERAGE SERVICES,01/10/2024,[object Object]
Supplies: General,FOSPHB-RFP-07-24/25 REQUEST FOR PROPOSAL FOR THE SUPPLY PROVISION OF RENTAL OF MOBILE CRANES AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 (THREE) YEARS,01/10/2024,[object Object]
Manufacture of chemicals and chemical products,FOSCO-RFP-109-24/25 PROVISION OF SANAS ACCREDITED LABORATORY SERICES – CHEMICAL AND BACTERIOLOGICAL WATER ANALYSES AT FOSKOR MINING DIVISION (PHALABORWA) FOR A PERIOD OF 3 YEARS.,01/10/2024,[object Object]
Supplies: General,Supply of Office Furniture and equipment,01/10/2024,[object Object]
Other service activities,PROVISION OF ONLINE BACKUP SYSTEM FOR A PERIOD OF TWENTY-FOUR MONTHS FOR THE COMPETITION COMMISSION OF SOUTH AFRICA,01/10/2024,[object Object]
