category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Other service activities,PWR 34/25,Provision of Physical Security Services at the Department of Public Works and Roads Head Office Sites for a period of thirty-six (36) months,16/09/2025,10/10/2025,,,
Services: General,RFP120/2025,Appointment of a Service Provider for the Provision of Events Management and Catering Services for Independent Power Producers’ Office (IPP Office) for a period of three (3) years,16/09/2025,09/10/2025,,,
"Electricity, gas, steam and air conditioning",RFQ/AIR-CON/ PPECB-BOTH/09-25,"Supply, Delivery and Installation of Air-Conditioning for the PPECB Bothaville Office",16/09/2025,23/09/2025,,,
Supplies: General,RR60946/25-26,"Supply and delivery of material handling system for blasting booth at Armscor Dockyard, Simonstown",16/09/2025,16/10/2025,,,
Other service activities,PWR 35/25,Provision of Physical Security at the Department of Public Works and Roads Ngaka Modiri Molema Districts Sites for a period of thirty- six (36) months,16/09/2025,10/10/2025,,,
Services: Building,RFQ/BLINDS/ PPECB-BOTH/09-25,Supply and Installation of Window Blinds for the PPECB Bothaville Office,16/09/2025,23/09/2025,,,
Administrative and support activities,RFQ/MK/ESGASSEMNT/COMMS/070/2025-2026) READVERT,"Specifications to appoint a service provider to conduct an ESG (Environmental,Social, and Governance) assessment",16/09/2025,25/09/2025,,,
Architectural and engineering activities; technical testing and analysis,10415747-R,DESIGN & SUPPLY A MODEL OF LETHABO POWER STATION,16/09/2025,23/09/2025,,,
"Water collection, treatment and supply",HOAC HO 54195,"FOR THE SUPPLY, DELIVERY AND INSTALLATION OF A WATER TREATMENT PLANT [REVERSE OSMOSIS] AT LOOP 10 ON THE IRON ORE LINE",16/09/2025,30/09/2025,,,
Services: General,ATNS/FACT/RFP009/2025/2026/LANDSCAPINGANDGARDENING,The appointment of a service provider to provide landscaping and gardening service for ATNS Cape Town International Airport (FACT) for the period of 5 years and ad hoc services on an as and when required basis,16/09/2025,08/10/2025,,,
Other service activities,PWR 36/25,Provision of Physical Security at the Department of Public Works and Roads Bojanala District Sites for a period of thirty- six (36) months,16/09/2025,10/10/2025,,,
Supplies: General,RFQ 16459,Breathing apparatus cylinder at Chief Dawid Stuurman International Airport,16/09/2025,06/10/2025,,,
Rental and leasing activities,TE/2025/09/0034/105362/RFP-TE25-GMX-8HE-15113,THE LEASING OF MATERIAL HANDLING EQUIPMNET FOR A FULL MAINTENANCE LEASE AT TRANSNET ENGINEERING GERMISTON REGION FOR A PERIOD OF 36 MONTHS,16/09/2025,13/10/2025,,,
Services: Electrical,TPT/2025/09/0050/106702/RFQ,GYM EQUIPMENT MAINTENANCE FOR TRANSNET PORT TERMINALS PIER 1 FOR 12 MONTHS,16/09/2025,25/09/2025,,,
Services: General,SASSA:03-25-GA- GP,Accreditation of a minimum of five (5) and a maximum of twenty-five (25) merchants to redeem social relief of distress (SRD) food vouchers in the SASSA Gauteng Region for a period of sixty (60) months.,16/09/2025,07/10/2025,,,
"Waste collection, treatment and disposal activities; materials recovery",TPT/2025/09/0020/106608/RFQ,FOR THE SERVICING AND DISPOSAL OF SEWERAGE IN SEPTIC TANKS FOR TWELVE (12) MONTHS,16/09/2025,22/09/2025,,,
Legal and accounting activities,RFQ/CEO/Legal/2025/09,Declaration of Interest Verification,16/09/2025,30/09/2025,,,
Services: General,GRDM/09/25-26,RENEWAL OF SOPHOS SUBSCRIPTION FOR A PERIOD OF ONE YEAR,16/09/2025,08/10/2025,,,
Services: General,CSR&T/BID03/2025/26,"REQUEST FOR PROPOSAL FOR THE COLLECTION OF TRAFFIC COUNT AND ACCIDENT DATA MANAGEMENT FOR DORA COMPLIANCE FOR THE PERIOD OF THREE (3) YEARS FOR THE DEPARTMENT OF COMMUNITY SAFETY, ROADS AND TRANSPORT.",16/09/2025,07/10/2025,,,
Services: General,TPT/2025/09/0054/106720/RFQ,FOR THE PROVISION OF EMPLOYEE TRANSPORTATION SERVICES FOR TRANSNET PORT TERMINALS FOR A PERIOD OF ONE (1) MONTH,16/09/2025,18/09/2025,,,
Other service activities,E1861GXMPTUT,Animal Control and veterinary services at Tutuka Power Station for a period of 5 years.,16/09/2025,14/10/2025,,,
Other service activities,RFQ/PPECB-Fac/CorpBrand_Signages/2025/09,"Supply, Delivery and Installation of Corporate branding signages",16/09/2025,22/09/2025,,,
Construction,ADVERTISED RFQ 06/09/2025,"ADVERTISED RFQ 06/09/2025: REMOVING OF EXISTING ARTIFICIAL GRASS CARPET AND THE SUPPLY, DELIVERY AND INSTALLATION OF NEW ARTIFICIAL GRASS CARPET (CIDB GRADING: 1GB OR HIGHER)",16/09/2025,03/10/2025,,,
Other service activities,RFQ/PPECB-Fac/H&S_Equipment/2025/09,"Supply, Delivery, Servicing and Installation of Health and Safety Equipment in Bothaville Office",16/09/2025,22/09/2025,,,
Services: Professional,211/2025,"APPOINTMENT OF A SERVICE PROVIDER FOR THE IMPLEMENTATION, OPERATION, SUPPORT AND MAINTENANCE OF AN ADVANCED TRAFFIC CONTRAVENTION MANAGEMENT SYSTEM",16/09/2025,26/09/2025,,,
Supplies: General,LDPWRI-CS/20578,"SUPPLY AND DELIVERY OF OFFICE FURNITURE TO THE DEOAERMENT OF PUBLIC WORKS, ROADS AND INFRASTRUCTURE FOR A PERIOD OF 36 MONTHS",16/09/2025,07/10/2025,,,
Services: General,Regret Letter-MWP2665NTCSA,"REGRET LETTER -FOR PROVISION OF GENERAL CLEANING, GARDENING, HYGIENE, PEST CONTROL AND WASTE MANAGEMENT SERVICES FOR WORKS PLANNING & CENTRALISED SERVICES CRADOCK LIVE LINE DEPORT, FOR PERIOD OF 60 MONTHS.",16/09/2025,16/10/2025,,,
Services: General,RFQJW019TN25,RFQJW019TN25 - Refurbishment of 2nd and 3rd floor,16/09/2025,01/10/2025,,,
Other service activities,PWR 37/25,Provision of Physical Security at the Department of Public Works and Roads Dr Ruth Segomotsi Mompati Sites for a period of thirty- six (36) months,16/09/2025,10/10/2025,,,
Specialised construction activities,CSIR RFP 3702/17/10/2025,"Request for Proposals (RFP)For the Provision of 11kV Switch Room Upgrade at CSIR Scientia, Pretoria.",16/09/2025,17/10/2025,,,
Services: General,COM105/2025,STUDENTS PARKING DEMAND/RATES STUDY FOR CITY OF MBOMBELA,16/09/2025,23/09/2025,,,
Rental and leasing activities,CSOS008-2025R,THE APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE OFFICE SPACE FOR THE CSOS HEAD OFFICE AND GAUTENG REGIONAL OFFICE FOR A PERIOD OF FIVE (5) YEARS.,16/09/2025,01/10/2025,,,
Publishing activities,RFQ/MICT/65/2025-APPOINTMENT OF A SERVICE PROVIDER,"RFQ/MICT/65/2025-APPOINTMENT OF A SERVICE PROVIDER TO CONCEPTUALISE, DESIGN, AND DEVELOP A DIGITAL REFERENCE MANUAL (E-BOOK) FOR SKILLS DEVELOPMENT FACILITATORS",16/09/2025,24/09/2025,,,
Services: Professional,CIPC BID NUMBER:05/2025/2026,"INVITATION TO SERVICE PROVIDERS TO SUBMIT PROPOSALS FOR THE IMPLEMENTATION, MAINTENANCE AND SUPPORT OF THE DATA MASKING SOLUTION",16/09/2025,24/10/2025,,,
Other service activities,E1868GXMPKRI,"Supply, delivery and servicing custom made hearing protection devices at Kriel Power Station on an as and when required basis for a period of five years",16/09/2025,24/10/2025,,,
Supplies: General,RFQ1091/2025,SUPPLY AND DELIVERY OF PARLIAMENT BRANDED PREPARED STILL AND SPARKLING BOTTLED WATER TO PARLIAMENT OF RSA,16/09/2025,25/09/2025,,,
Construction,E1856GXMPTUT,EXTERNAL WORKS FOR PARK HOMES AND DRAINAGE FOR THE DESIGN AND SPECIFICATION BUILDING FOR A PERIOD OF 6 MONTHS AT TUTUKA POWER STATION,16/09/2025,16/10/2025,,,
Information and communication,SO/092/09/2025,Provision for supply and delivery of Network Security and Switching Infrastructure at SANSA Hartebeesthoek Site,16/09/2025,17/10/2025,,,
Food and beverage service activities,MRTT26-01,"Supply & delivery of meat and meat products for MRTT (HTA) on a ""as and when required basis""",16/09/2025,16/10/2025,,,
Food and beverage service activities,MRTT26-02,"Supply and delivery of Dry Goods and beverages for MRTT(HTA) for a period of 36 months on a ""as and when required basis""",16/09/2025,16/10/2025,,,
Supplies: General,FOSPHB-RFP-46-25/26,"FOSPHB-RFP-46-25/26 REQUEST FOR PROPOSAL FOR SUPPLY, INSTALL AND COMMISSION 5 x 25M HIGH MAST LIGHTS AT DRYING & DISPATCH",16/09/2025,14/10/2025,,,
Education,MRTT26-03,"ICT Managed services,3rd party licenses, supply and installation of telecommunication systems for the period of 35 months",16/09/2025,16/10/2025,,,
Manufacture of electrical equipment,MWP2331TXValidity3,"Tender validity extension for the manufacture and supply of the Overhead Phase Conductor for National Transmission Company South Africa (NTCSA), on an “as and when” required basis for a period of five (5) years. Tender number MWP2331TX",16/09/2025,31/10/2025,,,
Education,MRTT26-04,Appointment of Internal Auditors for the period of 35 months,16/09/2025,16/10/2025,,,
Education,MRTT26-05,"Supply and delivery of Building and Civil Material for the period of 36 on a ""as and when required basis""",16/09/2025,16/10/2025,,,
Education,MRTT26-06,"Supply and delivery of Welding and Boiler making material, for the period of 36 on a ''as and when required basis""",16/09/2025,16/10/2025,,,
Accommodation,NLA-RFQ-010,REQUEST FOR QUOTATION ACCOMODATION (SPRINGS),16/09/2025,19/09/2025,,,
Accommodation,NLA-RFQ--011,REQUEST FOR QUOTATION ACCOMODATION (VANDERBIJLPARK),16/09/2025,19/09/2025,,,
Supplies: General,FOSPHB-RFP-45-25/26,FOSPHB-RFP-45-25/26 REQUEST FOR PROPOSAL SUPPLY INSTALL AND COMMISSION LASER SCANNER AND ASSOCIATED POINT CLOUD PROCESSES AND MODELLING PACKAGE,16/09/2025,14/10/2025,,,
Construction of buildings,DPWI01WCAN001-DB_CON001-CONTRACTOR,PROCUREMENT OF DESIGN AND BUILD CONTRACTOR FOR THE DEMOLITION OF 112 PREFAB HOUSES (INCLUDING HOUSES UNDER THE ESKOM SERVITUDE) AND ERECTING OF 113 THREE-BEDROOM BRICK HOUSES.,16/09/2025,15/10/2025,,,
Services: General,E1870NTSCAEC,"THE PROVISION OF GENERAL CLEANING, GARDENING / GENERAL WORKER, HYGIENE, PEST CONTROL, OFFICE REFUSE AND GARDEN WASTE REMOVAL SERVICES FOR THE NATIONAL TRANSMISSION COMPANY OF SOUTH AFRICA, COMMERCIAL OFFICES INCLUDING TELECOMMUNICATIONS & DEPOT’S BUILDINGS IN EASTERN CAPE & WESTERN CAPE FOR THE PERIOD OF 60 MONTHS ON AN AS AND WHEN REQUIRED BASIS.",16/09/2025,14/10/2025,,,
"Electricity, gas, steam and air conditioning",Q39-2025-26,ADVERTISEMENT: QUOTATION FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR SUPPLY AND DELIVERY OF VARIOUS ULTRAHIGH LABORATORY GASES FOR 12 MONTHS PERIOD,16/09/2025,30/09/2025,,,
Services: Functional (Including Cleaning and Security Services),MBTC-SCM/98/2025,REQUEST FOR PROPOSALS FOR THE APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER: TO PROVIDE TOTAL FACILITIES MANAGEMENT FOR MANDELA BAY THEATRE COMPLEX FOR A PERIOD OF THREE YEARS,16/09/2025,17/10/2025,,,
Administrative and support activities,COJ/PUBS002/25-26,APPOINTMENT OF A SERVICE PROVIDER(S) FOR THE SUPPLY AND DELIVERY OF FIREFIGHTING FOAM TO THE CITY OF JOHANNESBURG (EMERGENCY MANAGEMENT SERVICES - EMS) FOR A PERIOD NOT EXCEEDING THREE (3) YEARS ON AN AS-AND-WHEN REQUIRED BASIS,16/09/2025,17/10/2025,,,
Supplies: Stationery/Printing,T05/25 Photocopy,3-year photocopier lease agreement for several machines on all sites,15/09/2025,10/10/2025,,,
Services: General,T06/25 Garden,"Render garden services at Moqhaka sites – Kroonstad campus, Mphohadi campus, Derksen Hostel and Lentehof Hostel",15/09/2025,10/10/2025,,,
"Professional, scientific and technical activities",T08/25 IA,Render Internal Audit Services.,15/09/2025,10/10/2025,,,
Services: Professional,T10/25 Web,Maintain and update the College website according to the College needs,15/09/2025,10/10/2025,,,
Services: Professional,T11/25 CIEG Audit,The College requires a Chartered Accountant to perform agreed upon procedures on CIEG expenditure,15/09/2025,10/10/2025,,,
Services: General,P09-25 Trans S,Provide transport for students and staff at Sasolburg sites on as-and-when basis,15/09/2025,10/10/2025,,,
Services: General,P10/25 A/C S,"Supply, service, install and repair air conditioners at Sasolburg sites on as-and-when basis",15/09/2025,10/10/2025,,,
Services: General,P11/25 A/C K,"Supply, service, install and repair air conditioners at Moqhaka sites on as-and-when basis",15/09/2025,10/10/2025,,,
Supplies: General,P12/25 GAS,Supply and rental of gas bottles for the workshops at Sasolburg sites on as-and-when basis,15/09/2025,10/10/2025,,,
Supplies: Clothing/Textiles/Footwear,P13/25 PPE,"Supply personal protective gear, equipment and consumables to the College on as-and-when basis",15/09/2025,10/10/2025,,,
Supplies: General,P14/25 Clean K,Supply and deliver cleaning equipment + cleaning consumables to the Kroonstad + Mphohadi sites on as-and-when basis,15/09/2025,10/10/2025,,,
Printing and reproduction of recorded media,P15/25 Print,"Do copies, binding, laminating etc. for the College on as-and-when basis",15/09/2025,10/10/2025,,,
Services: Professional,P16/25 Med,Provide Medical testing services for students on as-and-when basis,15/09/2025,10/10/2025,,,
Supplies: General,P18/25 Steel,Supply and deliver different kinds of steel for student tasks on as-and-when basis,15/09/2025,10/10/2025,,,
Supplies: General,P19/25 Clean S,Supply and deliver cleaning equipment + cleaning consumables to the Sasolburg site on as-and-when basis,15/09/2025,10/10/2025,,,
Services: General,P20/25 Corp,"Design, print and supply corporate printing and marketing material",15/09/2025,10/10/2025,,,
Construction,RFQ/OBP164/2025/26,"Supply and Installation of Mesh Fence (cage) 8,2 x 3m in Cold room",15/09/2025,26/09/2025,,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,Bid No. 40/2025,Supply and Delivery of Council Vehicles,15/09/2025,29/09/2025,,,
Accommodation,FIN-SCM-TEN-0145,Bid for Student Accommodation Services for 12 months,15/09/2025,14/10/2025,,,
"Professional, scientific and technical activities",WIMS NO 037697,"WIMS NO 037697: KZN: DEPARTMENT OF HEALTH:ETHEKWINI REGION:KWANGCOLOSI: KWANGCOLOSI CLINIC: THE APPOINTMENT OF A MULTI-DISCIPLINARY ENTITY TO PROVIDE A PROFESSIONAL TEAM CONSISTING OF AN ARCHITECT (PA) ,QUANTITY SURVEYOR ,CIVIL AND STRUCTURAL ENGINEER AND ELECTRICAL ENGINEER FOR RE-DESIGN AND MODERNISING STRUCTURE.",15/09/2025,16/10/2025,,,
Construction,RFQ BEL/0032/2025,SUPPLY AND ERECTION OF FENCE AROUND MANAGEMENT HOUSES AT BELFAST PLANTATION,15/09/2025,30/09/2025,,,
Services: Professional,RFQ Number: 3973/25,Request for service provider to conduct 4x4 off road drivers training for the SAWS Gauteng employees,15/09/2025,23/09/2025,,,
Specialised construction activities,CONTRACT No. SCM 16 OF 25/26,"COPESVILLE WATER SUPPLY SCHEME PHASES 3, 4 AND 5 WMPI-2 – APPOINTMENT OF A CONTRACTOR (7CE OR HIGHER) FOR PHASE 3B COPESVILLE BULK WATER PIPELINE PROJECT WITHIN WARD 30",15/09/2025,20/10/2025,,,
"Professional, scientific and technical activities",ZNTD 05359W.,"WIMS NO 077448:KZN:DEPARTMENT OF TRANSPORT:ETHEKWINI REGION: ROSSBURGH RTI MLB: THE APPOINTMENT OF A MULTI-DISCIPLINARY ENTITY TO PROVIDE A PROFESSIONAL TEAM CONSISTING OF AN ARCHITECT (PA) ,QUANTITY SURVEYOR, CIVIL AND STRUCTURAL ENGINEER,LAND SURVEYOR, GEOTECHNICAL ENGINEER,MECHANICAL ENGINEER ,ELECTRICAL ENGINEER AND HEALTH AND SAFETY AGENT FOR THE CONSTRUCTION OF NEW ROSSBURGH DLTC BUILDING.",15/09/2025,16/10/2025,,,
Repair and installation of machinery and equipment,Re-advert for PUDP 795,"Supply, Delivery, Calibration and Maintenance of Speed Measuring Equipment’s, for a period of 36 Months.",15/09/2025,13/10/2025,,,
Repair and installation of machinery and equipment,Re-advert for PUDP 795A,"The Calibration, Repairs and Maintenance of Speed Measuring Equipment, for a period of 36 months.",15/09/2025,13/10/2025,,,
Specialised construction activities,RFP 02/2026FY/PF,REQUEST FOR PROPOSALS FOR THE APPOINTMENT OF AN ARCHITECT FOR THE REDESIGN AND RECONFIGURATION AND CONSTRUCTION SUPERVISION OF THE KWA MA-MAI MARKET FOOD COURT TO ENHANCE THE FUNCTION AND AESTHETICS,15/09/2025,15/10/2025,,,
Civil engineering,RFX600002999,"Appointment of a service provider to supply, deliver and instal Perimeter Fencing at Cala Site under the East London Sentech Offices.",15/09/2025,30/09/2025,,,
Food and beverage service activities,API01REQ004545,RFQ FOR CATERING SERVICES,15/09/2025,19/09/2025,,,
Other manufacturing,NLM-QUO-25/143,"Request for quotation to supply, delivery one slag crusher for smelter project.",15/09/2025,22/09/2025,,,
Legal and accounting activities,TNPA/2024/11/0003/83972/RFP,TENDER FOR THE FRAMEWORK AGREEMENT (PSC) FOR ADJUDICATORS AND ARBITRATORS IN THE BUILT ENVIRONMENT FOR A DURATION OF THREE (3) YEARS AS AND WHEN REQUIRED FOR ALL PORTS FALLING UNDER THE MANAGEMENT OF THE TRANSNET NATIONAL PORTS AUTHORITY,15/09/2025,17/10/2025,,,
Repair and installation of machinery and equipment,SANBI G555/2025,APPOINTMENT OF A CONTRACTOR FOR THE CONSTRUCTION OF THE BOUNDARY FENCE AND GATES AT THE THOHOYANDOU NATIONAL BOTANICAL GARDEN,15/09/2025,16/10/2025,,,
Services: General,054916,MAINTENANCE OF LIFT A PERIOD OF 36 MONTHS,15/09/2025,19/09/2025,,,
Repair and installation of machinery and equipment,SANBI G556/2025,APPOINTMENT OF A CONTRACTOR FOR THE INSTALLATION OF A POND LINER AND REPAIR WORKS AT THE WETLAND POND AT THE PRETORIA NATIONAL BOTANICAL GARDEN,15/09/2025,15/10/2025,,,
Services: General,P2025/05,"INVITATION TO REGISTER ON THE DATABASE PANEL OF SERVICE FOR FUMIGATION AND PEST CONTROL SERVICES FOR AMAJUBA MUNICIPALITY MAIN OFFICES, DISASTER CENTRE AND KWAMDAKANE THUSONG SERVICES CENTRE, UTRECHT WASTE AND WATER PLANTS, TWEEDIEDALE PONDS AND DURNACOL WATER PLANTS FOR A PERIOD OF 36 MONTHS",15/09/2025,16/10/2025,,,
Repair and installation of machinery and equipment,P2025/07,"INVITATION TO REGISTER ON THE DATABASE PANEL OF SERVICE PROVIDERS FOR SUPPLY, MAINTENANCE AND NEW INSTALLATION OF AIRCONDITIONERS FOR A PERIOD OF 36 MONTHS",15/09/2025,16/10/2025,,,
Services: Professional,SCMU10-25/26-0015,SPECIALIST SERVICE PROVIDER TO DEVELOP AN INTEGRATED PUBLIC TRANSPORT SYSTEM BASED ON SELECTED ROUTES THAT OPERATE THROUGH SELECTED MUNICIPALITIES WITHIN EASTERN CAPE PROVINCE,15/09/2025,06/10/2025,,,
"Other professional, scientific and technical activities",TNPA/2025/03/0009/92856/RFP,"PROVISION OF A PROFESSIONAL SERVICES PROVIDER TO UNDERTAKE FEASIBILITY DESIGNS FOR THE NEW BERTHING, WATER AND MARINE SERVICES STAFF FACILITY, INCLUDING A SATELLITE CLINIC IN THE PORT OF DURBAN FOR A PERIOD OF TWENTY-FOUR (24) MONTHS.",15/09/2025,06/10/2025,,,
Telecommunications,SD02 2025/2026,SD02 2025/2026: APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE AN E-MOBILITY SERVICE TO THE DEPARTMENT OF SOCIAL DEVELOPMENT FOR A PERIOD OF THIRTY-SIX (36) MONTHS,15/09/2025,14/10/2025,,,
Supplies: General,MLPS-HO-10364081-09-2025,SUPPLY AND DELIVERY OF YARD VEHICLES SCOTCH BLOCK,15/09/2025,19/09/2025,,,
Services: General,RFI22-2025/2026,REQUEST FOR INFORMATION FOR INTEGRATED LIBRARY SERVICE PLATFORM,15/09/2025,19/09/2025,,,
Architectural and engineering activities; technical testing and analysis,T2025/11,"DESIGN AND DEVELOP EVACUATION EMERGENCY PLANS FOR THE AMAJUBA DISTRICT MUNICIPALITY, THUSONG CENTRE, DURNACOL WATER WASTE PLANT, UTRECHT WATER TREATMENT PLANT AND UTRECHT WASTEWASTER PLANT",15/09/2025,29/09/2025,,,
Services: Professional,E1843GXMPKRI,"Provision of Basic Hygiene Audit, nutritional quality, Extract fan services and Calibration of canteen equipment on an “as and when” required basis for a period of 5 years to Kriel Power Station Canteen.",15/09/2025,10/10/2025,,,
Other service activities,RFQ 32-08-2025,APPOINTMENT OF A SERVICE PROVIDER FOR RENEWAL OF THE DATA CENTRE ENVIRONMENTAL MONITORING SYSTEM,15/09/2025,19/09/2025,,,
Services: General,RFQ0001146,"DESCRIPTION: Request to appoint a service provider (SP) to supply material and repair Gordon’s Bay jetty (PFHM), proclaim fishing harbours management.",15/09/2025,29/09/2025,,,
"Professional, scientific and technical activities",CSIR RFP 3701/10/10/2025,"Request for Proposals (RFP)For the provision of occupational health, primary healthcare services and operational management of the medical centre at the CSIR Scientia campus, for a period of three (3) years",15/09/2025,10/10/2025,,,
Services: General,26_2025-2026T,SUPPLY AND DELIVERY OF COMMONAGE BOUNDARY FENCE FOR THREE YEARS,15/09/2025,16/10/2025,,,
Services: Professional,Sound025,REQUEST FOR QUOTE FOR SUPPLY AND INSTALLATION OF SOUND SYSTEM,15/09/2025,26/09/2025,,,
"Waste collection, treatment and disposal activities; materials recovery",25_2025-2026T,HIRING OF MACHINERY AND OPERATORS FOR COVERING AND COMPACTION OF THE LADY GREY LANDFILL SITE AND BARKLY EAST GARDEN WASTE SITE,15/09/2025,30/09/2025,,,
Other service activities,SCMU3-25/26-0020-H0,APPOINTMENT OF A SERVICE PROVIDER TO ASSIST THE EASTERN CAPE DEPARTMENT OF HEALTH FOR MOVABLE ASSET VERIFICATION TO ADDRESS AUDIT FINDINGS FOR A PERIOD OF 12 MONTHS,15/09/2025,14/10/2025,,,
Scientific research and development,OVI01REQ002701,MR Genesig RT-PCR kit for Bluetongue virus,15/09/2025,22/09/2025,,,
Supplies: Computer Equipment,22_2025-2026T,ICT Consultants Services (3 years),15/09/2025,16/10/2025,,,
Supplies: Electrical Equipment,RFQ 4038/25,The procurement of fiber splicing tools,15/09/2025,23/09/2025,,,
Supplies: General,3D025,REQUEST FOR QUOTE FOR ONCE-OFF SUPPLY AND DELIVERY OF 1 x 3-D PRINTER,15/09/2025,26/09/2025,,,
Services: Building,ZNTD06125W,BUILDING OF SEPTIC TANK AND MINOR WORKS,15/09/2025,19/09/2025,,,
Information and communication,NLC2025-015,"THE APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL, CONFIGURE, INTEGRATE AND SUPPORT A LAN INFRASTRUCTURE SOLUTION FOR A PERIOD OF FIVE (5) YEARS.",15/09/2025,08/10/2025,,,
Services: Professional,20_2025-2026T,Provision of Training Agent Services for Senqu Local Municipality for a period of three years,15/09/2025,14/10/2025,,,
Services: Building,ZNTD06151W,MINOR REPAIRS AND RENOVATIONS TO STAFF HOUSE,15/09/2025,19/09/2025,,,
Other service activities,RFQ-30-08-2025,PROCUREMENT OF UNIFOMS,15/09/2025,19/09/2025,,,
Services: Professional,DCSL SBD 19-2025,"DCSL SBD 19-2025 APPOINTMENT OF A PANEL OF SERVICE PROVIDERS TO RENDER CRIME PREVENTION, SELF DEFENSE, FIRST AID & DISASTER RISK MANAGEMENT TRAINING TO THE DEPARTMENT FOR A PERIOD OF 36 MONTHS",15/09/2025,29/09/2025,,,
Other service activities,RFQJW00131SM2025,Supply and Deliver Hot Tapping Machine (Under pressure Drilling Machine),15/09/2025,22/09/2025,,,
Sewerage,TECH/01/2025-26a,Provision of consultancy and Construction of the upgrading of sewer reticulation at Regorogile Extention 5 & 6,15/09/2025,06/10/2025,,,
Other personal service activities,RFQJW00132SM2025,Supply and delivery of Steel Tool Trunk,15/09/2025,22/09/2025,,,
Services: Functional (Including Cleaning and Security Services),GSDM 62/2024,"APPOINTMENT OF THE SERVICE PROVIDER FOR THE PROVISION OF HYGIENE SERVICES AND PEST CONTROL AT GERT SIBANDE DISTRICT MUNICIPALITY MAIN OFFICE, GERT SIBANDE DISTRICT MUNICIPALITY WATER LABORATORY AND GSDM DISASTER CENTRES IN MKHONDO LM, CHIEF ALBERT LUTHULI LM, DIPALESENG LM AND DR PIXLEY KA ISAKA SEME LM FOR A PERIOD OF THIRTY SIX (36) MONTHS.",15/09/2025,16/10/2025,,,
Services: Civil,ZNTD06126W,SUPPLY AND INSTALL WINDOWS BLIND,15/09/2025,19/09/2025,,,
Services: Professional,RFQ 2025 -009-003,Trauma Informed Leadership Programme for Eight Months,15/09/2025,22/09/2025,,,
Employment activities,RFQ 2025-009-001,Office Assistant as and when required for 12 Months,15/09/2025,19/09/2025,,,
Manufacture of chemicals and chemical products,GSDM 05/2025,PROVISION OF VARIOUS GAS CYLINDERS INCLUDING GAS CYLINDER RENTALS TO THE GERT SIBANDE DISTRICT MUNICIPALITY WATER LABORATORY AS AND WHEN REQUIRED FOR A PERIOD OF 36 MONTHS.,15/09/2025,17/10/2025,,,
Supplies: Electrical Equipment,SRVM RFQ 07/2026,"SUPPLY, DELIVER AND INSTALLATION OF 6 NEW BULK ANALOG ELECTRICITY METER",15/09/2025,23/09/2025,,,
Services: Professional,ZNT 05 EDTEA 25-26,"APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE PHYSICAL SECURITY SERVICES AT KZN DEPARTMENT OF ECONOMIC DEVELOPMENT, TOURISM AND ENVIRONMENTAL AFFAIRS AT ZULULAND DISTRICT OFFICE ( ULUNDI OFFICES) FOR A PERIOD OF 36 MONTHS.",15/09/2025,15/10/2025,,,
Real estate activities,RFP08/25,REQUEST FOR PROPOSALS FOR THE PROVISION AND MAINTENANCE OF A REAL ESTATE MANAGEMENT SYSTEM,15/09/2025,08/10/2025,,,
Services: Professional,RFQ 72357,Request for Bids for an Occupational Health and Safety Professional Service Provider for the NonConstruction of Additional Baggage Carousel and other related works Airports Company South Africa OR Tambo International Airport.,15/09/2025,17/10/2025,,,
Other service activities,SCM/2026/16/COMM,Re- Advertisement Grass Cutting and Clearing & alien Clearing in Bitou Municipal areas & Pump Stations for a of Period Ending 30 June 2028.,15/09/2025,10/10/2025,,,
Information service activities,IT-OP-004-2025/2026,"Appointment of a service provider for the support and maintenance of oracle database, oracle application server, and Microsoft SQL* server for a period of 36 months",15/09/2025,17/10/2025,,,
Printing and reproduction of recorded media,RFQ-102a-25,Appointment of a service provider for the Production and Printing of the SANParks Tourism Research Report,15/09/2025,26/09/2025,,,
Activities of head offices; management consultancy activities,RFI23_2025_2026,REQUEST FOR INFORMATION ON THE DESIGN AND LAYOUT OF A MODERN LIBRARY (IRC Block G),15/09/2025,25/09/2025,,,
Administrative and support activities,RFQ 2025-009-005,REQUEST FOR SUPPLY AND DELIVERY OF STATIONERY NLC WESTERN CAPE (CAPE TOWN) OFFICE,15/09/2025,23/09/2025,,,
Construction of buildings,CRAC-EFQ-55480/TFR/2025/09/0004/106479/RFP,Refurbishment of substa??on roofs under Isando Depot,15/09/2025,14/10/2025,,,
Specialised construction activities,VIM01REQ004599,"PROVISION OF ACCESSIBILITY CONSULTING SERVICES FOR THE PROPOSED CENTRE OF EXCELLENCE AT THE AGRICULTURAL RESEARCH CENTRE ROODEPLAAT, PRETORIA",15/09/2025,24/09/2025,,,
Repair and installation of machinery and equipment,E1849GXMPMAJ,"Supply, refurbishment and repair of different types of gearboxes at Majuba Power Stations.",15/09/2025,15/10/2025,,,
