Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Construction,WTE-0499 CS,SUPPLY AND DELIVERY OF READY-MIX CONCRETE FOR LSGWS CANAL REALIGNMENT PROJECT IN KIRKWOOD IN THE EASTERN CAPE FOR DWS CONSTRUCTION SOUTH.,11/02/2026,26/02/2026,Water and Sanitation,Request for Bid(Open-Tender),Eastern Cape,"KIRKWOOD, KIRKWOOD, KIRKWOOD",N/A,R RADZILANI,radzilanir@dws.gov.za,021-872-0591,N/A,No,No,,,No,No,,
Services: General,RFQJW006TN26 (RE-ADVERT),RFQJW006TN26 - PAYROLL (RE-ADVERT),11/02/2026,18/02/2026,Johannesburg Water,Request for Quotation,Gauteng,"65 Ntemi Piliso Street, Newtown, Johannesburg, 2001",N/A,Tlangelani Nkuna,tlangelani.nkuna@jwater.co.za,011-688-1925,N/A,No,No,,,Yes,No,,
Services: Professional,RFQ008-2026,"THE APPOINTMENT OF A SERVICE PROVIDER TO RENDER BROAD BASED BLACK ECONOMIC EMPOWERMENT (B-BBEE) ASSESSMENT AND ISSUE COMPLIANCE
REPORTS FOR CSOS FOR A PERIOD OF THREE YEARS",11/02/2026,19/02/2026,Community Schemes Ombud Service,Request for Quotation,National,"8 Bauhinia Street, Berkeley Office Park, Centurion, Pretoria, 0157",N/A,Jabulile Sithole,quotations3@csos.org.za,010-593-0533,N/A,No,No,,,No,No,,
Services: Building,PD/WE 3/2/452,"LEASE L40625 OF ERF 10013, DURBAN –FU MEASURING IN EXTENT APPROXIMATELY OF 874 M²",11/02/2026,20/02/2026,Transnet National Ports Authority,Request for Information,KwaZulu-Natal,"Port of Durban, Ethekwni, Durban, 4001",N/A,Sindisiwe Mchunu,PODREALESTATETENDERS@transnet.net,031-361-3769,031-361-3769,No,No,,,No,No,,
Services: Professional,RFQ02/11/2025-26,Appointment of a service provider to provide certified Information Systems Auditor-CISA training ,11/02/2026,20/02/2026,Science & Technology,Request for Quotation,Gauteng,"Brummeria, Lynwood, Tshwane, 0001",N/A,charlotte Nukeri,charlotte.nukeri@dsti.gov.za,082-311-2499,N/A,No,No,,,No,No,,
Services: General,WTE-0500 CS,THE SUPPLY OF TRANSPORT SERVICE FOR EMPLOYEES FOR LSGWS CANAL FAILURE REPAIR PROJECT IN THE EASTERN CAPE FOR DWS CONSTRUCTION SOUTH.,11/02/2026,05/03/2026,Water and Sanitation,Request for Bid(Open-Tender),Eastern Cape,"KIRKWOOD, KIRKWOOD, KIRKWOOD"," A COMPULSORY SITE MEETINGS WILL BE HELD AT THE KIRKWOOD SITE OFFICES ON THE 19th FEBRUAARY 2026 FROM 11:00 TILL 12:00 WITH CO-ORDINATES AS FOLLOWS: 33°26'15.4""S - 25°32'16.0""E",R RADZILANI,radzilanir@dws.gov.za,021-872-0591,N/A,Yes,Yes,,KIRKWOOD SITE OFFICES,No,No,,
Accommodation,ZNT 8004 W,"Hire of office accommodation to the Department of Public Works and Infrastructure: KwaZulu-Natal on behalf of the Department of Sport, Arts and Culture: Umkhanyakude District - Hluhluwe for a period of five (5) years",11/02/2026,12/03/2026,Public Works,Request for Bid(Open-Tender),KwaZulu-Natal,"King Dinuzulu Highway, Ulundi, Ulundi, 3838","No CIDB grading
Ownership by Black People (20 points)",Sibusiso Zungu,sibusiso.zungu@kznworks.gov.za,071-523-0403,N/A,Yes,Yes,,"Department of Public Works and Infrastructure, LA Building - Chamber Resting Area",No,No,,
Services: Functional (Including Cleaning and Security Services),8/2/9/29 (2026-2031),8/2/9/29 (2026-2031) BID TO APPOINT A SERVICE PROVIDER TO RENDER COMPREHENSIVE SECURITY SERVICES TO MIDVAAL LOCAL MUNICIPALITY AREA 2 FOR A PERIOD OF SIXTY (60) MONTHS FROM DATE OF AWARD,11/02/2026,13/03/2026,Midvaal Local Municipality,Request for Bid(Open-Tender),Gauteng,"25 Mitchell street, Meyerton, Meyerton, 1960","SPECIFIC GOALS & POINTS : Local Enterprises:10 & BBB-EE Status:10

The bid document will also be made available for download on the National Treasury e-Tenders portal. Bidders using this option are hereby advised to monitor the portal regularly for updates and uploaded addendum documents during the time the bid is advertised. It is the responsibility of the bidder to ensure that they are up to date with all issued documents",SCM,tenders@midvaal.gov.za,016-360-7453,N/A,No,No,,,No,No,,
"Electricity, gas, steam and air conditioning",TMNP011/2025-26RRR,"INVITATION TO SUBMIT FORMAL WRITTEN PRICE QUOTATIONS FOR RENDERING GAS MAINTENANCE SERVICES, CERTIFICATION AND REPAIRS FOR A PERIOD OF 24 MONTHS FOR TABLE MOUNTAIN NATIONAL PARK (TMNP)",11/02/2026,19/02/2026,South African National Parks,Request for Proposal,Limpopo,"Table mountain , Table Mountain, Cape Town, 8001",N/A,Lubabalo Moni,Lubabalo.Moni@sanparks.org,021-741-2350,N/A,No,No,,,No,No,,
Security and investigation activities,8/2/9/30 (2026-2029),8/2/9/30 (2026-2029) BID TO APPOINT A SERVICE PROVIDER FOR THE RENTAL OF TRAFFIC CONTRAVENTION MANAGEMENT SYSTEM AND RELATED EQUIPMENT TO MIDVAAL LOCAL MUNICIPALITY FROM 01 JULY 2026 UNTIL 30 JUNE 2029,11/02/2026,13/03/2026,Midvaal Local Municipality,Request for Bid(Open-Tender),Gauteng,"25 Mitchell street, Meyerton, Meyerton, 1960","SPECIFIC GOALS & POINTS - Local Enterprises:10 & BBB-EE Status:10

The bid document will also be made available for download on the National Treasury e-Tenders portal. Bidders using this option are hereby advised to monitor the portal regularly for updates and uploaded addendum documents during the time the bid is advertised. It is the responsibility of the bidder to ensure that they are up to date with all issued documents.",SCM,tenders@midvaal.gov.za,016-360-7453,N/A,No,No,,,No,No,,
Services: Civil,RFP014/2026,"Development of Water Services Master Plan (WSMP), Water Services
Development Plan (WSDP), and a Management Plan to Reduce Non-Revenue
Water (MPNRW) in support of Capricorn District Municipality.",11/02/2026,09/03/2026,Development Bank of Southern Africa,Request for Proposal,National,"1258 Lever Road, Headway Hill, Midrand, 1685",N/A,Lihle Ndlangamandla,lihleSCM@dbsa.org,011-313-3437,N/A,Yes,Yes,,LINK ON THE RFP DOCUMENT ,No,No,,
Services: Civil,RFP015/2026,Development of Roads and Stormwater Master Plans (RSWMP) in support of Polokwane and Emakhazeni Local Municipalities.,11/02/2026,09/03/2026,Development Bank of Southern Africa,Request for Proposal,National,"1258 Lever Road, Headway Hill, Midrand, 1685",N/A,Lihle Ndlangamandla,lihleSCM@dbsa.org,011-313-3437,N/A,Yes,Yes,,LINK ON THE RFP DOCUMENT ,No,No,,
Services: Civil,RFP016/2026,"Development of an Integrated Waste Management Plan (IWMP), Roads and Stormwater Master Plans (RSWMP), Electricity Master Plans (EMP) and a Management Plan to Reduce Non-Revenue Electricity (MPNRE) in support of Enoch Mgijima and Blue Crane Route Local Municipalities.",11/02/2026,11/03/2026,Development Bank of Southern Africa,Request for Proposal,National,"1258 Lever Road, Headway Hill, Midrand, 1685",N/A,Lihle Ndlangamandla,lihleSCM@dbsa.org,011-313-3437,N/A,Yes,Yes,,LINK ON THE RFP DOCUMENT ,No,No,,
Services: Civil,RFP017/2026,Development of an Electricity Master Plans (EMP) and a Management Plan to Reduce Non-Revenue Electricity (MPNRE) in support of Ba-Phalaborwa Local Municipality.,11/02/2026,11/03/2026,Development Bank of Southern Africa,Request for Proposal,National,"1258 Lever Road, Headway Hill, Midrand, 1685",N/A,Lihle Ndlangamandla,lihleSCM@dbsa.org,011-313-3437,N/A,Yes,Yes,,LINK ON THE RFP DOCUMENT ,No,No,,
Supplies: General,MWP2461TX.,Questions and answers- MWP2461TX,11/02/2026,28/02/2026,ESKOM,Request for Bid(Open-Tender),National,"Corner Jellico and Water Meyer Street, Witbank, Eskom Park, North Eastern Region, 1035",N/A,Tshifhiwa Modau,ModauT@eskom.co.za,011-629-5553,N/A,No,No,,,No,No,,
Construction,SCM46/2025/26 ,"STORMWATER MANAGEMENT SERVICES FOR BAILEY, WESSELS AND SHANNON STREETS IN L’AGULHAS AND DUIKER STREET IN STRUISBAAI ",11/02/2026,06/03/2026,Cape Agulhas Municipality,Request for Bid(Open-Tender),Western Cape,"1 Dirkie Uys Street, Bredasdorp, Bredasdorp, 7280",It is estimated that contractors should have a CIDB grading of 4 CE or higher.,Geraldine Koopman,geraldinek@capeagulhas.gov.za,028-425-5500,N/A,Yes,Yes,,"Struisbaai Municipal Office, Main Road, Struisbaai",No,No,,
Services: Electrical,10368007/02/OHTE,"THE SUPPLY, DELIVER AND INSTALLATION OF THE 3KV DC TRACTION SUBSTATIONS FEEDER CABLES COMPLETE WITH ALL ASSOCIATED EQUIPMENT ALONG THE KAALFONTEIN- JOHANNESBURG SERVICE LINE IN GAUTENG EAST REGION.",11/02/2026,27/02/2026,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,"Johannesburg, Kaalfontein - Johannesburg, Johannesburg, 2000","Submissions to be done at the below address:
PRASA UMJANTSHI HOUSE, GROUND FLOOR.
3O WOLMARANS STREET
BRAAMFONTEIN, JOHANNESBURG.
Please note no electronic submission will be accepted.",Hloni,lehlohonolo.mahlonoko@prasa.com,011-013-1790,N/A,Yes,Yes,,"Umjantshi House, 30 Wolmarans Street, Braamfontein. Johannesburg. 2000",No,No,,
"Travel agency, tour operator, reservation service and related activities",SCM44/2025/26,APPOINTMENT OF A TRAVEL AGENCY FOR A PERIOD OF 12 MONTHS ,11/02/2026,27/02/2026,Cape Agulhas Municipality,Request for Bid(Open-Tender),Western Cape,"1 Dirkie Uys Street, Bredasdorp, Bredasdorp, 7280",N/A,Geraldine Koopman,geraldinek@capeagulhas.gov.za,028-425-5500,N/A,No,No,,,No,No,,
Services: Professional,SCM45/2025/26,RECONDITION OF UD CRONER PKE250 GH8 ENGINE ,11/02/2026,27/02/2026,Cape Agulhas Municipality,Request for Bid(Open-Tender),Western Cape,"1 Dirkie Uys Street, Bredasdorp, Bredasdorp, 7280",N/A,Bradley Flowers,geraldinek@capeagulhas.gov.za,028-425-5500,N/A,No,No,,,No,No,,
Other service activities,C-BRTA/HO/0096,APPOINTMENT OF A LEGAL PANEL TO RENDER SERVICES ON AND AS AND WHEN BASIS FOR A PERIOD OF 36 MONTHS,11/02/2026,13/03/2026,Cross-Border Road Transport Agency,Request for Proposal,National,"350 Witch-Hazel Avenue ,Eco-Park Estate, Pretoria, Pretoria, 0154",N/A,Supply Chain Management,tenders@cbrta.co.za,012-471-2000,N/A,Yes,No,,https://teams.microsoft.com/meet/36889647782550?p=Mzohxy80ZubNXuZYSMMeeting ID: 368 896 477 825 50 M,No,No,,
Supplies: General,5/2/1/1/2025-2026/223,"APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF
PERSONAL PROTECTIVE EQUIPMENT.",11/02/2026,19/02/2026,National - Department of Agriculture,Request for Quotation,National,"20 STEVE BIKO ROAD, PRETORIA","80/20 PRINCIPLE WILL BE APPLICABLE FOR THIS REQUEST OF WHICH 80 POINTS
WILL BE FOR PRICE AND 20 POINTS FOR SPECIFIC GOALS",Mimi Sibisi,Mimis@dalrrd.gov.za,012-319-6271,N/A,No,No,,,No,No,,
Services: Professional,Q26/004/MD,"Supply, Hosting, Installation, Maintenance, and Support of the uMngeni Water Services E-Learning Moodle Application Platform for a Period of Four (4) Years",11/02/2026,24/02/2026,Umgeni Water,Request for Quotation,KwaZulu-Natal,"THE 6 BOULEVARD, WESTVILLE OFFICE PARK, WESTIVILLE, DURBAN, 3665",N/A,Mbali Dimba,Mbali.dimba@uuw.co.za,078-127-1506,N/A,Yes,Yes,,Join: https://teams.microsoft.com/meet/33221001994290?p=cQ0ycVWGOLUJEdO3va  Meeting ID: 332 210 019 ,No,No,,
Supplies: Clothing/Textiles/Footwear,10366040,REQUEST FOR QUOTATION (RFQ) FOR THE SUPPLY AND DELIVERY OF TRAIN OPERATIONS UNIFORM.,11/02/2026,20/02/2026,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,"Cnr Leyds and Simmonds Street, Braamfontein, Johannesburg, 2001",N/A,Makgwale Elizabeth Tshehla,makgwale.tshehla@prasa.com,011-085-7084,N/A,No,No,,,No,No,,
Services: General,5/2/2/1(022)2025-2026,"APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY, DELIVERY, INSTALLA-TION, COMMISSIONING, SERVICING AND MAINTENANCE OF THE LIQUID CHROMA-TOGRAPHY- MASS SPECTROMETER (LC-MS) AND PERSONNEL TRAINING FOR THE LIQUOR PRODUCTS LABORATORIES (LPL) DIRECTORATE: FOOD SAFETY AND QUALITY ASSURANCE",11/02/2026,09/03/2026,National - Department of Agriculture,Request for Proposal,National,"POLKADRAAI ROAD, DEPARTMENT OF AGRICULTURE, LIQUOR PRODUCTS LABORATORIES , STELLENBOSCH, WESTERN CAPE , 7600",NB: The applicable preference point system for this bid is the 80/20 preference point system. (all applicable taxes included),Xoliswa Tlali,XoliswaT@nda.gov.za,021-809-1643,N/A,Yes,Yes,,"POLKADRAI ROAD, DEPARTMENT OF AGRICULTURE, LIQUOR PRODUCTS LABORATORIES (LPL) STELLENBOSCH (WC) ",No,No,,
Education,E2517CXMWP,"The Provision of Process Engineering Training on
an as and when required basis for 3 years.",11/02/2026,04/03/2026,ESKOM,Request for Bid(Open-Tender),National,"Eskom Academy of Learning, Midrand, Johannesburg, 2157",Tenderers should submit their submissions on Eskom e-tender portal,Malekutu Gavin Mabidilala,mabidimg@eskom.co.za,011-629-4972,N/A,No,No,,,No,No,,
Other service activities,ERI2025TSS08R,TENDER VALIDITY EXTENSION - CALIBRATION AND REFURBISHMENT OF SAFETY VALVES FOR A PERIOD OF 3 YEARS,11/02/2026,27/02/2026,ESKOM,Request for Bid(Open-Tender),Gauteng,"Lower Germiston Road, Roscherville, Johannesburg South, 2020",N/A,THUSO RALEKWA,RalekwTM@eskom.co.za,011-629-4559,N/A,No,No,,,No,No,,
Services: Professional,PR10114271,The Road Accident Fund (RAF) wishes to appoint a service provider to provide Defensive Driving Workshop for the Cape Town regional office.,11/02/2026,18/02/2026,Road Accident Fund,Request for Quotation,Western Cape,"1 Thibualt Square, Long Street, Cape Town, Cape Town, 8001",N/A,Harold Nicholson,haroldn@raf.co.za,064-766-6394,N/A,No,No,,,No,No,,
Services: Professional,10367840,REQUEST FOR QUOTATION FOR CALIBRATION,11/02/2026,19/02/2026,Passenger Rail Agency of South Africa,Request for Quotation,Gauteng,"cnr leyds and simmonds street, Braamfontein , Johannesburg, 2001",N/A,CRY MONENE,cry.monene@prasa.com,011-013-0110,N/A,No,No,,,No,No,,
Services: Functional (Including Cleaning and Security Services),NDT0003/26,REQUEST FOR SUITABLE SECURITY SERVICE PROVIDER FOR THE PROVISION OF GUARDING/PHYSICAL SECURITY SERVICES FOR THE DEPARTMENT OF TOURISM FOR A PERIOD OF THREE YEARS (36 MONTHS).,11/02/2026,05/03/2026,Tourism,Request for Bid(Open-Tender),Gauteng,"17 Trevenna Street, Sunnyside, Pretoria, 0002",N/A,Merriam Nthani,mnthani@tourism.gov.za,012-444-6230,N/A,No,No,,,No,No,,
Services: Professional,RFQ 01/AUDIT/2025/2026,APPOINTMENT FOR A SERVICE PROVIDER TO CONDUCT RISK MANAGEMENT AUDIT AND IT GOVERNANCE AND APPLICATION AUDIT ASSIGNMENTS.,11/02/2026,20/02/2026,Road Traffic Infringement Agency,Request for Quotation,Gauteng,"10 Matuka Close,  , New Road Office Park  , Midrand  , 1685","1.         Please fill the attached SBD 4  and 6.1, documents.
2.         Letter from Bank confirming banking details ;
3.         BBBee certificate 
4      and your CSD Registration report with the (supplier Number & Unique number) from the national treasury.
",Kelebogile Mabel Thipe Mabotja ,kelebogile.thipe@rtia.co.za,060-449-2994,N/A,No,No,,,No,No,,
Scientific research and development,NMISA (25-26) T0006,"PROCUREMENT OF MAMMOGRAPHY X-RAY TUBE AND A CONVENTIONAL X-RAY TUBE, INCLUDING DELIVERY, INSTALLATION AND COMMISSONING",11/02/2026,04/03/2026,NATIONAL METROLOGY INSTITUTE OF SOUTH AFRICA,Request for Bid(Open-Tender),Gauteng,"CSIR Campus, Building 5, Pretoria, Pretoria, 0182",N/A,Njesie Nhlapo,njnhlapo@nmisa.org,012-947-2800,N/A,Yes,Yes,,"NMISA, CSIR Campus, Building 5, Meiring Naude Road, Brummeria, 0182",Yes,No,,
Repair and installation of machinery and equipment,TE/2026/02/0171/1171/RFQ,"FOR THE REQUEST FOR MACHINING, SUPPLYING AND REPAIR FOR CRANES IN LOCOMOTIVE BUSINESS",11/02/2026,20/02/2026,Transnet SOC Ltd,Request for Quotation,Free State,"TRANSNET ROAD, HILTON, BLOEMFONTEIN, 9301","A COMPULSORY PRE-PROPOSAL SITE MEETING AND/OR RFP BRIEFING WILL BE HELD AS FOLLOWS
NB: IT IS COMPULSORY FOR A BIDDER TO ATTEND AN RFP BRIEFING AND SITE VISIT FOR THE DEPOT/AREA BIDDING FOR, FAILURE TO ATTEND RFP BRIEFING AND SITE VISIT WILL LEAD TO BID DISQUALIFICATION
NB: PPE REQUIREMENTS: BIDDERS ARE REQUIRED TO WEAR SAFETY SHOE WITH STEEL TOE CAP AND A REFLETOR VEST IN ORDER TO GAIN ACCESS TO RFP BRIEFING AND SITE VISIT; FAILURE TO COMPLY WITH PPE REQUIREMENTS WILL DISQUALIFY THE BIDDER FROM ATTENDING THE COMPULSORY RFP BRIEFING AND SITE VISIT",NAOMIJORDAAN,NAOMI.JORDAAN@TRANSNET.NET,051-408-2268,N/A,Yes,Yes,,BLOEMFONTEIN,No,No,,
Agricultural Products and Services,5Clusters,CONDUCT PLOUGHING MECHANIZATION FOR 28 WARDS OF UMZIMVUBU LOCAL MUNICIPALITY FOR PERIOD OF 2 YEARS,11/02/2026,06/03/2026,Umzimvubu Local Municipality,Request for Bid(Open-Tender),Eastern Cape,"Dabula Street, Sophia, MOUNT FRERE, 5090",N/A,Mr. A. Makanda,makanda.azola@umzimvubu.gov.za,039-255-8500,N/A,No,No,,,No,No,,
Other service activities,ERI2025TSS18TV,"Tender Validity Extension - The Maintenance of Transformers for Eskom Rotek Industries for a Period of Four (4) Years on
an as and when required basis",11/02/2026,27/02/2026,ESKOM,Request for Bid(Limited-Tender,Gauteng,"Lower Germiston Road, Roscherville, Johannesburg South, 2020",N/A,Jackie Gopal,gopalj@eskom.co.za,011-621-3067,N/A,No,No,,,No,No,,
Services: General,SASSA:07-25-CS-NC ,"Appointment of service provider to supply ,installation ,commissioning of CCTV Cameras and biometric access control devices with a maintenance and warranty plan and surveillance management software system for a period of three years .",11/02/2026,24/02/2026,South African Social Security Agency,Request for Bid(Open-Tender),Northern Cape,"No:33  Du Toitspan Road(Cnr .Du Toitspan Road & Phakamile Mabija), Kimberley, Kimberley, 8301",Refer to the TOR ,Kagisho Tsomagae,Kagishot@sassa.gov.za,053-802-4915,N/A,No,No,,,No,No,,
Supplies: Stationery/Printing,E1480NTCSAMWP,Tender Cancellation: the provision of stationery within the Southern Grid,11/02/2026,20/02/2026,ESKOM,Request for Information,Eastern Cape,"E-tendering system, East London, East London, 5201",N/A,Hlumela Mntumni,mntumnh@ntcsa.co.za,043-703-2148,N/A,No,No,,,No,No,,
Services: General,ACTV/02/2026,"REQUEST FOR TENDER [RFT]: THE APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL AND MAINTAIN A NEW BIOMETRIC ACCESS CONTROL  SYSTEM AND CCTV SYSTEM FOR A PERIOD OF THREE YEARS.",11/02/2026,09/03/2026,CEF (Pty) Ltd,Request for Bid(Open-Tender),Gauteng,"Block C, Upper Grayston Office Park 152 Ann Crescent, Strathavon, Strathavon, 2031",N/A,Tisetso Radebe,tisetsor@cefgroup.co.za,010-201-4724,N/A,Yes,Yes,,"CEF House, 152 Ann Crescent, Strathavon, Sandton Johannesburg",No,No,,
Activities of head offices; management consultancy activities,FM01/02/2026,REQUEST FOR PROPOSAL FOR THE APPOINTMENT OF INTERNAL AUDITORS FOR THE PERIOD OF 36 (THIRTY-SIX) MONTHS ,11/02/2026,09/03/2026,National Housing Finance Corporation Limited,Request for Proposal,Gauteng,"90 Grayston Drive, Sandown, Sandton, 2031","The Bid must be deposited in the bid box during normal office hours viz. 08:30 – 16:30 Mondays to Fridays at the below address: 
	90 Grayston Drive
	5th Floor, 
	90 Grayston, 
	Sandton
",Ms. Khensani Zungu ,tenders01@nhfc.co.za,060-994-2863,N/A,Yes,No,,Meeting ID: 359 440 307 237 50 Passcode: Q3NJ7oe2,No,No,,
"Computer programming, consultancy and related activities",SRVM RFQ 21/2026,SUPPLY AND DELIVERY OF NETWORK CABLE INSTALLATION FOR TRAFFIC STATION,11/02/2026,19/02/2026,Sundays River Valley Municipality,Request for Quotation,Eastern Cape,"23 MIDDLE STREET, NQWEBA, NQWEBA, 6120",N/A,SIBULELE NTONGANA,sibulelen@srvm.gov.za,042-230-7738,042-230-1799,Yes,Yes,,"TRAFFIC DEPARTMENT OF SRVM, MIDDLE, NQWEBA",No,No,,
Repair and installation of machinery and equipment,Q25/006,DEPARTMENT OF JUSTICE: BOTSHABELO MAGISTRATE OFFICE REPAIRS AND REFURBIHMENT OF MAGISTRATE COMPLEX (OCCUPATIONAL HEALTH AND SAFTEY AGENT SERVICE) ,11/02/2026,25/02/2026,Public Works,Request for Quotation,National,"18 President Brand Street, Bloemfontein., Bloemfontein., 9300",OHS,DITABA MATSELA ,ditaba.matsela@dpw.gov.za,051-408-7362,N/A,No,No,,,No,No,,
Education,FQ69/2025 (1) ,"Request for Quotation (RFQ): Skills Training for 42 CWP Participants in the Northern Cape (14), North-West (14) and KwaZulu-Natal (14) Provinces on Occupational Skills Programme: Plumbing Hand, SP-210403 (NQF Level 3) accredited by the Quality Council for Trades and Occupations (QCTO). ",11/02/2026,25/02/2026,Department of Corporative Governance and Traditional Affairs,Request for Quotation,National,"87 Hamilton Street, Arcadia, PRETORIA, 0083",Quotation can be submitted on e-tender portal or email provided on quotation document.,Nomvula Ntuli,t03.2025@cogta.gov.za,012-334-0820,N/A,No,No,,,Yes,No,,
"Office administrative, office support and other business support activities",HGDA 06-2025/26,PROVISION FOR SERVICE PROVIDER TO CONDUCT CONDITIONAL ASSESSMENT OF IMMOVABLE ASSETS FOR A PERIOD OF 36 MONTHS ,11/02/2026,09/03/2026,Harry Gwala Development Agency,Request for Bid(Open-Tender),KwaZulu-Natal,"Harry Gwala Farmers Market, Erf 2226, Ixopo, IXOPO, 3276",N/A,Yamkela Mdolomba,yamkela.mdolomba@hgda.co.za,068-287-3560,N/A,No,No,,,No,No,,
Supplies: General,HGDA 07-2025/26,Appointment of a Service Provider for Supply and Delivery of EDF Commodities,11/02/2026,27/02/2026,Harry Gwala Development Agency,Request for Bid(Open-Tender),KwaZulu-Natal,"Harry Gwala Farmers Market, Erf 2226, Ixopo, IXOPO, 3276",N/A,Zintle Mkulisi,led@hgda.co.za,082-308-6833,N/A,No,No,,,No,No,,
Administrative and support activities,HGDA 08-2025/26,Appointment of a Service Provider to Develop a Business Plan for the Establishment of a Timber Treatment Plant in Harry Gwala District,11/02/2026,27/02/2026,Harry Gwala Development Agency,Request for Bid(Open-Tender),KwaZulu-Natal,"Harry Gwala Farmers Market, Erf 2226, Ixopo, IXOPO, 3276",N/A,Zintle Mkulisi,led@hgda.co.za,082-308-6833,N/A,No,No,,,No,No,,
Services: Professional,RFQ/OBP373/2025/26,Appointment of a service provider to provide Six sigma training,11/02/2026,18/02/2026,Onderstepoort Biological Products Limited,Request for Quotation,Gauteng,"100 OLD SOUTPAN ROAD, ONDERSTEPOORT, PRETORIA, 0110",N/A,Hlengiwe Mthembu,Purchasing@obpvaccines.co.za,012-522-1500,N/A,No,No,,,No,No,,
Administrative and support activities,HGDA 09-2025/26,Development of a Business Plan for the establishment of a Water Purification and Bottling Plant in Franklin under Greater Kokstad Municipality in the Harry Gwala District,11/02/2026,27/02/2026,Harry Gwala Development Agency,Request for Bid(Open-Tender),KwaZulu-Natal,"Harry Gwala Farmers Market, Erf 2226 Portion 27 of the Farm Ellerton, IXOPO",N/A,Zintle Mkulisi,led@hgda.co.za,082-308-6833,N/A,Yes,Yes,,Franklin Cultural Village - Adjacent to Franklin High School (Kokstad),No,No,,
Services: Professional,RFQ/OBP370/2025/26,Appointment of a service provider to provide GMP Implementation and Auditing Training,11/02/2026,18/02/2026,Onderstepoort Biological Products Limited,Request for Quotation,Gauteng,"100 OLD SOUTPAN ROAD, ONDERSTEPOORT, PRETORIA, 0110",N/A,Hlengiwe Mthembu,Purchasing@obpvaccines.co.za,012-522-1500,N/A,No,No,,,No,No,,
Administrative and support activities,HGDA 10-2025/26,Capacity Building Training on Artificial Intelligence for Fifteen (15) MSME’s within the Harry Gwala District,11/02/2026,27/02/2026,Harry Gwala Development Agency,Request for Bid(Open-Tender),KwaZulu-Natal,"Harry Gwala Farmers Market, Erf 2226, Ixopo, IXOPO, 3276",N/A,Zintle Mkulisi,led@hgda.co.za,082-308-6833,N/A,No,No,,,No,No,,
Services: Professional,RFQ/OBP369/2025/26,Appointment for a service provider to provide OBP with GMP Auditor,11/02/2026,19/02/2026,Onderstepoort Biological Products Limited,Request for Quotation,Gauteng,"100 OLD SOUTPAN ROAD, ONDERSTEPOORT, PRETORIA, 0110",N/A,Annelize Labuschagne,Purchasing@obpvaccines.co.za,012-522-1500,N/A,No,No,,,No,No,,
Information and communication,T02/02/26,REQUEST FOR PROPOSAL FOR THE APPOINTMENT OF A TALENT ACQUISITION RESPONSE HANDLING AND RECRUITMENT SERVICES PROVIDER.,11/02/2026,24/02/2026,Industrial Development Corporation of South Africa Limited,Request for Proposal,National,"19 Fredman Drive, Sandown, Sandton, 2146","Non-Compulsory briefing session	
Date: 17 February 2026 at 12:00 PM
Venue: Microsoft Teams
Link: https://teams.microsoft.com/meet/35362905909836?p=zTx3ymI24kAxugaJRS

",Fhulufhedzani Kone,FhulufhedzaniK@idc.co.za,011-269-3565,N/A,Yes,Yes,,https://teams.microsoft.com/meet/35362905909836?p=zTx3ymI24kAxugaJRS,No,No,,
Supplies: General,KZN ULM 27/25/26,SUPPLY AND DELIVERY OF LOCAL ECONOMIC DEVELOPMENT(LED) STARTUP TOOLS AND EQUIPMENT FOR SMMEs,11/02/2026,24/02/2026,uMlalazi Municipality,Request for Bid(Open-Tender),KwaZulu-Natal,"11 KV CHALLENOR STREET, ESHOWE, ESHOWE, 3815",N/A,Mr. Sibusiso Mngoma,Sbusisom@umlalazi.gov.za,035-473-3300,N/A,No,No,,,No,No,,
Information and communication,CPSC/B/PC/417/2025,"OUTSOURCING OF SERVICE PROVIDER FOR INSTALLATION OF INTERNET SERVICES AT PERSONNEL SERVICE SCHOOL, THABA TSHWANE FOR THE PERIOD OF TWENTY FOUR (24) MONTHS. DOD PROC PLAN 25-26/HR DIV/2447",11/02/2026,05/03/2026,Defence,Request for Bid(Open-Tender),Gauteng,"7 ANDRIES STREET, THABA TSHWANE, PRETORIA, 0001",FOR TECHNICAL INFORMATION CONTACT WARRANT OFFICER R.A. LEMEKO 012 674 6583 OR 073 735 8750,CAPTAIN M.G. MMEKWA,MMANTWA.MMEKWA@DOD.MIL.ZA,012-649-6700,N/A,Yes,Yes,,"PERSONNEL SERVICE SCHOOL, 7 ADNDRIES PRETORIUS, THABA TSHWANE",No,No,,
